,Coffee_Price,Minas_Temp,Minas_Rain,SP_Temp,SP_Rain
2010-01-01,131.6999969482422,24.916129032258063,43.800000000000004,23.070967741935487,294.09999999999997
2010-02-01,129.0500030517578,26.11785714285714,14.7,23.932142857142857,185.4
2010-03-01,136.14999389648438,23.94193548387097,200.6,22.061290322580643,103.7
2010-04-01,135.1999969482422,22.363333333333333,47.9,19.41,67.4
2010-05-01,134.25,21.419354838709676,43.800000000000004,17.51290322580645,39.199999999999996
2010-06-01,164.1999969482422,18.5,13.3,15.520000000000001,9.4
2010-07-01,176.3000030517578,20.129032258064516,0.0,17.309677419354838,58.0
2010-09-01,183.0500030517578,24.176666666666666,13.1,19.096666666666668,89.9
2010-10-01,203.4499969482422,25.1,52.599999999999994,17.774193548387096,130.5
2010-11-01,200.9499969482422,22.903333333333332,240.9,19.9,182.3
2010-12-01,240.5,24.306451612903224,260.3,21.509677419354837,251.9
2011-01-01,244.8000030517578,23.91290322580645,120.4,22.9,270.3
2011-02-01,271.70001220703125,25.892857142857142,33.5,23.36785714285714,170.2
2011-03-01,264.1499938964844,22.883870967741935,230.79999999999998,20.509677419354837,175.4
2011-04-01,299.3500061035156,22.45,62.7,20.276666666666664,72.8
2011-06-01,265.3500061035156,20.113333333333333,3.0999999999999996,14.826666666666666,51.2
2011-07-01,239.5500030517578,20.074193548387097,0.9,16.516129032258064,30.1
2011-08-01,289.1000061035156,22.451612903225808,0.0,17.393548387096775,39.5
2011-09-01,228.89999389648438,23.733333333333334,1.6,17.163333333333334,5.300000000000001
2011-10-01,226.9499969482422,22.480645161290322,201.0,19.45483870967742,111.8
2011-11-01,233.8000030517578,21.836666666666666,187.1,18.533333333333335,183.9
2011-12-01,226.85000610351562,22.48709677419355,421.4,21.041935483870965,188.5
2012-02-01,203.14999389648438,24.2448275862069,43.6,23.137931034482758,111.3
2012-03-01,182.4499969482422,24.358064516129033,72.5,21.33225806451613,78.5
2012-05-01,160.64999389648438,20.825806451612905,47.300000000000004,16.858064516129033,29.4
2012-06-01,170.10000610351562,21.533333333333335,0.6,17.06,166.0
2012-08-01,164.5500030517578,20.325806451612905,0.5,17.693548387096776,2.7
2012-09-01,173.5,24.203333333333333,14.499999999999998,19.259999999999998,77.8
2012-10-01,154.64999389648438,26.106451612903225,10.9,21.04516129032258,78.5
2012-11-01,142.10000610351562,22.970000000000002,282.7,19.723333333333336,99.8
2012-12-01,143.8000030517578,25.687096774193545,51.9,23.47741935483871,191.8
2013-01-01,146.9499969482422,24.293548387096774,213.8,21.006451612903227,201.5
2013-02-01,142.64999389648438,24.917857142857144,26.9,22.685714285714287,146.2
2013-03-01,137.14999389648438,24.17096774193548,121.1,21.048387096774192,174.0
2013-04-01,134.9499969482422,21.923333333333336,59.6,18.746666666666666,93.9
2013-05-01,127.05000305175781,21.312903225806455,13.0,17.92258064516129,60.6
2013-06-01,120.0,21.183333333333334,23.2,17.243333333333332,71.2
2013-07-01,118.5999984741211,21.1,0.0,15.206451612903225,70.5
2013-08-01,112.0999984741211,22.345161290322583,0.0,16.483870967741936,7.0
2013-10-01,105.4000015258789,23.783870967741933,71.3,18.55806451612903,129.70000000000002
2013-11-01,110.25,24.473333333333336,100.7,20.366666666666667,147.1
2014-01-01,125.19999694824219,24.651612903225807,36.5,24.04516129032258,83.1
2014-02-01,179.8000030517578,26.05,7.4,24.50357142857143,83.4
2014-03-01,177.89999389648438,24.041935483870965,102.1,22.032258064516128,101.8
2014-04-01,203.0500030517578,23.763333333333332,18.6,19.78666666666667,46.0
2014-05-01,177.5,22.187096774193545,3.4000000000000004,17.896774193548385,40.2
2014-07-01,195.0500030517578,20.596774193548388,22.700000000000003,16.116129032258065,43.199999999999996
2014-08-01,195.75,22.04516129032258,0.2,17.12258064516129,36.3
2014-09-01,193.35000610351562,24.89,1.4,19.490000000000002,70.7
2014-10-01,188.0,25.548387096774192,50.3,20.4741935483871,31.5
2014-11-01,186.64999389648438,24.06,226.3,20.436666666666667,144.79999999999998
2014-12-01,166.60000610351562,23.874193548387098,102.1,22.151612903225807,178.8
2015-01-01,161.89999389648438,27.13225806451613,11.1,24.22258064516129,102.8
2015-04-01,136.5500030517578,23.5,42.2,19.64,42.8
2015-05-01,126.1500015258789,21.548387096774192,25.900000000000002,17.893548387096775,78.1
2015-06-01,130.64999389648438,21.216666666666665,9.799999999999999,16.996666666666666,29.700000000000003
2015-07-01,125.25,21.796774193548387,0.3,17.177419354838708,83.9
2015-08-01,120.55000305175781,22.574193548387097,0.3,18.96451612903226,30.6
2015-09-01,121.3499984741211,27.1,6.3,20.163333333333334,228.4
2015-10-01,120.94999694824219,28.27741935483871,20.9,21.24516129032258,55.2
2015-12-01,126.69999694824219,26.15806451612903,100.0,22.55483870967742,237.9
2016-01-01,116.3499984741211,23.951612903225808,340.8,21.96451612903226,240.4
2016-02-01,112.6500015258789,26.224137931034484,26.7,23.33103448275862,171.0
2016-03-01,127.44999694824219,25.719354838709677,41.099999999999994,21.94193548387097,140.8
2016-04-01,120.8499984741211,26.05,35.699999999999996,22.656666666666663,25.3
2016-06-01,144.10000610351562,21.366666666666667,0.2,14.423333333333334,111.2
2016-07-01,146.1999969482422,22.148387096774194,0.0,16.225806451612904,7.7
2016-08-01,145.89999389648438,23.383870967741935,2.3,17.36774193548387,81.6
2016-09-01,151.5500030517578,25.483333333333334,37.3,17.703333333333333,28.799999999999997
2016-10-01,164.14999389648438,25.567741935483873,85.7,19.364516129032257,147.8
2016-11-01,147.5,23.886666666666667,236.5,19.663333333333334,190.0
